Crash Number,Day of the Week,Day ,Time of Day,Time ,Place,Controlled Access,Access ,Manner of Crash,Crash Manner,Crash Severity,Intersection Related,Intersection Relationship,At Intersection,Intersection Location,Functional Class,Lighting Conditions,Light Conditions ,Weather,Weather C,CU Roadway Condition,Roadway Condition,CU Roadway Curvature and Grade,Roadway Curvature,Latitude,Longitude
604300,Sunday,Weekend,4:00 PM to 4:59 PM,Peak Hour,Urban,Main Road, Controlled,Rear End (front to rear),Rear-End,Property Damage Only,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Minor Arterial,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight and Level,Straight,33.47535,-86.816022
604555,Monday,Weekday,2:00 PM to 2:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Head-On (front to front only),Head-On,Non-Incapacitating Injury,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Minor Arterial,Daylight,Daylight,Cloudy,Foggy,Dry,Dry,Curve Right and Level,Curve,33.725588,-85.814946
603710,Friday,Weekday,6:00 PM to 6:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Side Impact (angled),Angular,Non-Incapacitating Injury,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Minor Arterial,Dusk,Dark,Clear,Clear,Dry,Dry,Straight and Level,Straight,31.227312,-85.48198
604960,Wednesday,Weekday,3:00 PM to 3:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Causal Veh Backing: Rear to Side,Sides,Possible Injury,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Minor Arterial,Daylight,Daylight,Cloudy,Foggy,Dry,Dry,Straight and Level,Straight,34.712777,-86.620859
605092,Tuesday,Weekday,3:00 PM to 3:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Non-Incapacitating Injury,Yes - Crash Was Intersection Related,Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Principal Arterial - Other,Daylight,Daylight,Cloudy,Foggy,Wet,Wet,Curve Left and Level,Curve,34.830059,-87.714935
605501,Wednesday,Weekday,10:00 PM to 10:59 PM,Off-Peak Hour,Rural,Main Road, Controlled,Other,Other,Suspected Serious Injury,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Interstate,Dark - Roadway Not Lighted,Dark,Cloudy,Foggy,Dry,Dry,Straight and Level,Straight,30.554026,-88.209676
605712,Wednesday,Weekday,8:00 PM to 8:59 PM,Peak Hour,Rural,Not a Controlled Access,Not Controlled,Rear End (front to rear),Rear-End,Possible Injury,Yes - Crash Was Intersection Related,Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Minor Arterial,Dark - Roadway Not Lighted,Dark,Fog,Foggy,Wet,Wet,Straight and Level,Straight,30.529117,-88.170455
606304,Monday,Weekday,8:00 PM to 8:59 PM,Peak Hour,Rural,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Non-Incapacitating Injury,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Major Collector,Dark - Roadway Not Lighted,Dark,Clear,Clear,Dry,Dry,Straight and Level,Straight,30.875058,-87.706933
606384,Friday,Weekday,1:00 PM to 1:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Non-Incapacitating Injury,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Principal Arterial - Other,Daylight,Daylight,Cloudy,Foggy,Dry,Dry,Straight and Level,Straight,30.585808,-88.143004
606712,Friday,Weekday,3:00 PM to 3:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Side Impact (angled),Angular,Suspected Serious Injury,Yes - Crash Was Intersection Related,Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Local,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight and Level,Straight,32.316677,-86.369288
606762,Saturday,Weekend,2:00 PM to 2:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Non-Incapacitating Injury,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Principal Arterial - Other,Daylight,Daylight,Cloudy,Foggy,Dry,Dry,Straight and Level,Straight,31.20245,-85.418605
606921,Saturday,Weekend,9:00 PM to 9:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Property Damage Only,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Minor Arterial,Dark - Roadway Not Lighted,Dark,Mist,Foggy,Wet,Wet,Curve Left and Up Grade,Curve,32.48913,-85.012412
607246,Sunday,Weekend,4:00 PM to 4:59 PM,Peak Hour,Urban,Not a Controlled Access,Not Controlled,Sideswipe - Opposite Direction,Sides,Possible Injury,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Minor Arterial,Daylight,Daylight,Clear,Clear,Dry,Dry,Curve Right and Level,Curve,30.663284,-88.086196
607415,Monday,Weekday,4:00 PM to 4:59 PM,Peak Hour,Urban,Not a Controlled Access,Not Controlled,Angle (front to side) Opposite Direction,Angular,Non-Incapacitating Injury,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Local,Dusk,Dark,Clear,Clear,Dry,Dry,Straight and Level,Straight,30.591238,-88.174696
607538,Monday,Weekday,5:00 PM to 5:59 PM,Peak Hour,Urban,Main Road, Controlled,Side Impact (90 degrees),Sides,Possible Injury,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Interstate,Dark - Spot Illumination Both Sides of Roadway,Dark,Clear,Clear,Dry,Dry,Straight and Level,Straight,30.739085,-88.109953
607975,Tuesday,Weekday,4:00 PM to 4:59 PM,Peak Hour,Urban,Main Road, Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Non-Incapacitating Injury,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Minor Arterial,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight and Level,Straight,34.803448,-87.668158
607692,Tuesday,Weekday,8:00 AM to 8:59 AM,Peak Hour,Urban,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Property Damage Only,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Principal Arterial - Other,Daylight,Daylight,Clear,Clear,Ice,Dry,Straight and Level,Straight,32.471545,-85.029522
608068,Wednesday,Weekday,6:00 AM to 6:59 AM,Peak Hour,Rural,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Suspected Serious Injury,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Minor Arterial,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight with Up Grade,Straight,34.511544,-86.184041
608394,Tuesday,Weekday,6:00 PM to 6:59 PM,Off-Peak Hour,Urban,Off Ramp, Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Non-Incapacitating Injury,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Interstate,Dark - Spot Illumination Both Sides of Roadway,Dark,Clear,Clear,Dry,Dry,Straight and Level,Straight,33.379412,-86.818025
609034,Saturday,Weekend,12:00 Midnight to 12:59 AM,Off-Peak Hour,Rural,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Suspected Serious Injury,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Principal Arterial - Other,Dark - Roadway Not Lighted,Dark,Clear,Clear,Dry,Dry,Curve Right and Level,Curve,30.406985,-87.815107
604112,Sunday,Weekend,11:00 AM to 11:59 AM,Off-Peak Hour,Rural,Not a Controlled Access,Not Controlled,Rear End (front to rear),Rear-End,Suspected Serious Injury,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Principal Arterial - Other,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight with Down Grade,Straight,33.14263,-87.543506
609889,Sunday,Weekend,10:00 PM to 10:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Suspected Serious Injury,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Minor Arterial,Dark - Spot Illumination One Side of Roadway,Dark,Clear,Clear,Not Applicable,Dry,Not Applicable,Curve,33.472602,-86.882941
610173,Wednesday,Weekday,8:00 PM to 8:59 PM,Peak Hour,Urban,Not a Controlled Access,Not Controlled,Side Impact (90 degrees),Sides,Suspected Serious Injury,Yes - Crash Was Intersection Related,Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Local,Dark - Continuous Lighting Both Sides of Roadway,Dark,Clear,Clear,Dry,Dry,Straight and Level,Straight,32.485915,-86.411495
609801,Friday,Weekday,7:00 AM to 7:59 AM,Peak Hour,Urban,Not a Controlled Access,Not Controlled,Non-Collision,Non-Collision,Possible Injury,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Minor Arterial,Daylight,Daylight,Clear,Clear,CU is Unknown,Dry,CU is Unknown,Curve,30.650256,-88.154834
611019,Wednesday,Weekday,5:00 PM to 5:59 PM,Peak Hour,Urban,Main Road, Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Property Damage Only,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Minor Arterial,Dusk,Dark,Mist,Foggy,Wet,Wet,Straight and Level,Straight,30.633639,-88.190736
602697,Wednesday,Weekday,12:00 Noon to 12:59 PM,Off-Peak Hour,Urban,Main Road, Controlled,Side Impact (90 degrees),Sides,Suspected Serious Injury,Yes - Crash Was Intersection Related,Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Local,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight with Up Grade,Straight,34.022673,-85.98867
611889,Friday,Weekday,9:00 PM to 9:59 PM,Off-Peak Hour,Rural,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Non-Incapacitating Injury,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Minor Arterial,Dark - Roadway Not Lighted,Dark,Clear,Clear,Dry,Dry,Curve Left and Up Grade,Curve,33.65124,-85.906115
611987,Friday,Weekday,11:00 PM to 11:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Non-Incapacitating Injury,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Major Collector,Dark - Roadway Not Lighted,Dark,Clear,Clear,Dry,Dry,Curve Right and Down Grade,Curve,33.424331,-86.636962
612182,Saturday,Weekend,11:00 PM to 11:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Non-Incapacitating Injury,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Local,Dark - Spot Illumination Both Sides of Roadway,Dark,Clear,Clear,Dry,Dry,Straight and Level,Straight,32.394196,-86.209985
612307,Sunday,Weekend,12:00 Noon to 12:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Possible Injury,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Principal Arterial - Other,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight and Level,Straight,34.841994,-87.673554
612335,Sunday,Weekend,1:00 PM to 1:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Non-Incapacitating Injury,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Minor Arterial,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight with Up Grade,Straight,33.513416,-86.732695
612341,Sunday,Weekend,1:00 PM to 1:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Non-Incapacitating Injury,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Minor Arterial,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight and Level,Straight,34.631068,-86.047702
612379,Sunday,Weekend,4:00 PM to 4:59 PM,Peak Hour,Urban,Main Road, Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Suspected Serious Injury,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Major Collector,Daylight,Daylight,Clear,Clear,CU is Unknown,Dry,CU is Unknown,Curve,33.869703,-87.220277
612426,Sunday,Weekend,5:00 PM to 5:59 PM,Peak Hour,Rural,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Non-Incapacitating Injury,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Major Collector,Dawn,Daylight,Clear,Clear,Dry,Dry,Curve Left and Up Grade,Curve,33.85324,-86.830908
612368,Sunday,Weekend,2:00 AM to 2:59 AM,Off-Peak Hour,Rural,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Non-Incapacitating Injury,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Minor Collector,Dark - Roadway Not Lighted,Dark,Clear,Clear,Dry,Dry,Straight and Level,Straight,31.353528,-85.425727
612479,Sunday,Weekend,5:00 PM to 5:59 PM,Peak Hour,Urban,Not a Controlled Access,Not Controlled,Side Impact (angled),Angular,Suspected Serious Injury,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Principal Arterial - Other,Dark - Spot Illumination Both Sides of Roadway,Dark,Clear,Clear,Dry,Dry,Straight and Level,Straight,33.43472,-86.938124
612492,Sunday,Weekend,10:00 PM to 10:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Rear End (front to rear),Rear-End,Property Damage Only,Yes - Crash Was Intersection Related,Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Major Collector,Dark - Spot Illumination Both Sides of Roadway,Dark,Clear,Clear,Not Applicable,Dry,Not Applicable,Curve,34.772538,-86.598771
605678,Wednesday,Weekday,7:00 PM to 7:59 PM,Peak Hour,Urban,Off Ramp, Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Non-Incapacitating Injury,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Interstate,Dark - Spot Illumination Both Sides of Roadway,Dark,Fog,Foggy,Other,Dry,Straight and Level,Straight,30.675873,-88.044039
612799,Monday,Weekday,3:00 PM to 3:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Rear End (front to rear),Rear-End,Property Damage Only,Yes - Crash Was Intersection Related,Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Minor Arterial,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight and Level,Straight,31.21993,-85.48623
613204,Wednesday,Weekday,6:00 PM to 6:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Suspected Serious Injury,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Minor Arterial,Dusk,Dark,Clear,Clear,Dry,Dry,Straight and Level,Straight,34.738441,-86.645815
612443,Sunday,Weekend,7:00 PM to 7:59 PM,Peak Hour,Urban,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Non-Incapacitating Injury,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Local,Dark - Continuous Lighting Both Sides of Roadway,Dark,Clear,Clear,Dry,Dry,Curve Right and Level,Curve,32.380774,-86.20225
613522,Tuesday,Weekday,3:00 PM to 3:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Rear End (front to rear),Rear-End,Property Damage Only,Yes - Crash Was Intersection Related,Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Local,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight and Level,Straight,31.19824,-85.380748
613636,Sunday,Weekend,10:00 PM to 10:59 PM,Off-Peak Hour,Rural,Not a Controlled Access,Not Controlled,Angle (front to side) Opposite Direction,Angular,Property Damage Only,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Minor Arterial,Dark - Roadway Not Lighted,Dark,Rain,Precipitation,Wet,Wet,Curve Right and Up Grade,Curve,33.228908,-87.484073
614736,Friday,Weekday,10:00 AM to 10:59 AM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Side Impact (angled),Angular,Non-Incapacitating Injury,Yes - Crash Was Intersection Related,Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Principal Arterial - Other,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight and Level,Straight,30.707521,-88.123412
615149,Friday,Weekday,9:00 PM to 9:59 PM,Off-Peak Hour,Urban,Main Road, Controlled,Head-On (front to front only),Head-On,Suspected Serious Injury,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Major Collector,Dark - Spot Illumination One Side of Roadway,Dark,Clear,Clear,Dry,Dry,Straight with Down Grade,Straight,30.661715,-88.096285
615194,Saturday,Weekend,1:00 PM to 1:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Sideswipe - Same Direction,Sides,Property Damage Only,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Minor Arterial,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight and Level,Straight,30.597142,-87.852053
615378,Saturday,Weekend,11:00 AM to 11:59 AM,Off-Peak Hour,Rural,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Non-Incapacitating Injury,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Major Collector,Daylight,Daylight,Clear,Clear,Dry,Dry,Curve Right and Down Grade,Curve,33.246175,-87.481379
615498,Saturday,Weekend,6:00 PM to 6:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Possible Injury,No - Crash Was Not Intersection Related,Not Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Minor Arterial,Dark - Spot Illumination One Side of Roadway,Dark,Clear,Clear,Dry,Dry,Straight and Level,Straight,34.701075,-86.786563
616015,Saturday,Weekend,8:00 PM to 8:59 PM,Peak Hour,Urban,Not a Controlled Access,Not Controlled,Side Impact (angled),Angular,Possible Injury,Yes - Crash Was Intersection Related,Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Null value,Dark - Continuous Lighting Both Sides of Roadway,Dark,Clear,Clear,Dry,Dry,Straight and Level,Straight,30.699788,-88.04599
616039,Monday,Weekday,5:00 PM to 5:59 PM,Peak Hour,Urban,Main Road, Controlled,Rear End (front to rear),Rear-End,Property Damage Only,Yes - Crash Was Intersection Related,Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Major Collector,Dark - Spot Illumination Both Sides of Roadway,Dark,Rain,Precipitation,Wet,Wet,Straight with Up Grade,Straight,33.181452,-86.280618
612830,Monday,Weekday,3:00 PM to 3:59 PM,Off-Peak Hour,Urban,Main Road, Controlled,Side Impact (90 degrees),Sides,Non-Incapacitating Injury,Yes - Crash Was Intersection Related,Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Principal Arterial - Other,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight with Down Grade,Straight,34.772083,-86.516696
616377,Monday,Weekday,3:00 PM to 3:59 PM,Off-Peak Hour,Urban,Not a Controlled Access,Not Controlled,Side Impact (angled),Angular,Property Damage Only,Yes - Crash Was Intersection Related,Intersection Related,Yes - Crash Occurred at an Intersection,At an Intersection,Major Collector,Daylight,Daylight,Clear,Clear,Dry,Dry,Straight and Level,Straight,32.504337,-86.409728
616058,Sunday,Weekend,12:00 Midnight to 12:59 AM,Off-Peak Hour,Rural,Not a Controlled Access,Not Controlled,Single Vehicle Crash (all types),Single Vehicle Crash,Possible Injury,No - Crash Was Not Intersection Related,Not Intersection Related,No - Crash Did Not Occur at an Intersection,Not at an Intersection,Major Collector,Dark - Roadway Not Lighted,Dark,Clear,Clear,Dry,Dry,Curve Left and Up Grade,Curve,34.852259,-86.516899
